id;name;author_name;inventory_status;original_price;discount;price;discount_rate;rating_average;review_count;quantity_sold;type_book;book_cover
193555781;Sinh Học 9 (2022);Bộ Giáo Dục Và Đào Tạo;available;17000;0;17000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;
104247419;QUY ĐỊNH VỀ MÃ SỐ, TIÊU CHUẨN CHỨC DANH NGHỀ NGHIỆP VÀ BỔ NHIỆM, XẾP LƯƠNG VIÊN CHỨC, GIẢNG DẠY TRONG CÁC CƠ SỞ GIÁO DỤC;Tăng Bình - Ái Phương;available;365000;144000;221000;39;0.0;0;;sach_giaokhoa;Bìa mềm
119529036;Combo 2 cuốn Giáo Trình Kinh Tế Chính Trị Mác – Lênin  + Giáo Trình Tư Tưởng Hồ Chí Minh (Dành Cho Bậc Đại Học HỆ CHUYÊN Lý Luận Chính Trị);Bộ Giáo Dục Và Đào Tạo;available;167440;0;167440;0;5.0;1;{'text': 'Đã bán 6', 'value': 6};sach_giaokhoa;Bìa mềm
191816451;Combo Đề Kiểm Tra Toán, Tiếng Việt Lớp 2 - Kết Nối Tri Thức;;available;80000;16000;64000;20;0.0;0;;sach_giaokhoa;Bìa mềm
178831368;Tập Vẽ 2 (Cánh Diều);nhieu tac gia;available;38000;0;38000;0;0.0;0;;sach_giaokhoa;
193555525;Ngữ Văn 6/2 (Cánh Diều) (2022);nhieu tac gia;available;24000;0;24000;0;0.0;0;;sach_giaokhoa;
143144233;Sách-Nghịch Lý Quyền Lực;;available;89250;0;89250;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;
146260613;Bài tập tuần toán 2 tập 1 ( Cánh diều );;available;40000;0;40000;0;0.0;0;;sach_giaokhoa;Bìa mềm
165030681;Sách - Combo Bài Tập Tuần Toán và Tiếng Việt 4 - Tập 1 (2 cuốn);;available;66000;0;66000;0;0.0;0;;sach_giaokhoa;
193555582;Bài Tập Khoa Học Tự Nhiên 6 (Kết Nối) (2022);nhieu tac gia;available;19000;0;19000;0;0.0;0;;sach_giaokhoa;
141792234;Lỗi Thường Gặp Khi Làm Bài Tập Lý Thuyết Mạch;;available;135000;0;135000;0;0.0;0;;sach_giaokhoa;
24164824;Giải Bài Tập Tiếng Việt 2 - Tập 1;Vũ Khắc Tuân;available;28000;0;28000;0;0.0;0;{'text': 'Đã bán 3', 'value': 3};sach_giaokhoa;
194183473;Bài Tập Âm Nhạc 7 (Chân Trời Sáng Tạo) (2022);nhieu tac gia;available;8000;0;8000;0;0.0;0;;sach_giaokhoa;
172120318;THỰC HÀNH GIẢI TOÁN LỚP 2 - TẬP 2 (THEO CHƯƠNG TRÌNH GIÁO DỤC TIỂU HỌC MỚI);;available;54000;13500;40500;25;0.0;0;;sach_giaokhoa;
111365723;Vector: Sách hệ Cambrige - Học toán bằng tiếng Anh - Maths 2 Student's Book;;available;375000;0;375000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;Bìa mềm
111365644;Vector: Sách hệ Singapore - Học toán bằng tiếng Anh - Let's Start! Maths 4 Student's Book;;available;365000;0;365000;0;0.0;0;;sach_giaokhoa;
194085891;Bài Tập Lịch Sử Và Địa Lí 6 - Phần Lịch Sử (Chân Trời Sáng Tạo) (2022);nhieu tac gia;available;12000;0;12000;0;0.0;0;;sach_giaokhoa;
111704049;MM Publications: Sách luyện ngữ pháp Tiếng Anh - Top Grammar Pre-Intemediate Sb (Br);;available;248000;0;248000;0;0.0;0;;sach_giaokhoa;Bìa mềm
112059097;Hướng Dẫn Dạy Và Học Môn Công Nghệ Trung Học Cơ Sở Theo Chương Trình Giáo Dục Phổ Thông Mới;;available;61750;0;61750;0;4.0;1;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;Bìa mềm
177727167;Các Phương Pháp Kiểm Tra Không Phá Hủy Kiểm Tra Dòng Xoáy - Tài Liệu Đào Tạo Kỹ Thuật Viên Kiểm Tra Phá Hủy Theo Tiêu Chuẩn Của Hiệp Hội Kiểm Tra Không Phá Hủy Hòa Kỳ ) ;;available;48000;0;48000;0;0.0;0;;sach_giaokhoa;
183539056;Bài Tập Tiếng Việt 1 - Tập 2 (Theo Chương Trình Giáo Dục Phổ Thông 2018);GS TS Lê Phương Nga;available;28000;0;28000;0;0.0;0;;sach_giaokhoa;
193555683;Luyện Viết Chữ Lớp 5 (2022);nhieu tac gia;available;5000;0;5000;0;0.0;0;;sach_giaokhoa;
193640436;Tiếng Việt 2/2 (Cánh Diều) (2022);nhieu tac gia;available;29000;0;29000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;
193555694;Âm Nhạc Và Mĩ Thuật 9 (2022);Bộ Giáo Dục Và Đào Tạo;available;11000;0;11000;0;0.0;0;;sach_giaokhoa;
111385325;Vector: Sách hệ Singapore - Học toán bằng tiếng Anh - Let’s Start Maths 6 Student’s Book;;available;395000;0;395000;0;0.0;0;;sach_giaokhoa;Bìa mềm
111366606;Vector: Sách hệ Cambrige - Học toán bằng tiếng Anh - Maths 3 Student's Book;;available;395000;0;395000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;Bìa mềm
29348317;Chinh Phục Toàn Diện Kỹ Năng Viết Tiếng Anh - Lớp 2;Nguyễn Quốc Tuấn;available;60000;0;60000;0;5.0;2;{'text': 'Đã bán 23', 'value': 23};sach_giaokhoa;
112550370;Vector: Sách hệ Cambrige - Học khoa học bằng tiếng Anh - Science 5 Workbook;;available;189000;0;189000;0;0.0;0;;sach_giaokhoa;Bìa mềm
111364800;Vector: Sách hệ Singapore - Học toán bằng tiếng Anh - Let's Start! Maths 2 Workbook;;available;265000;0;265000;0;0.0;0;;sach_giaokhoa;Bìa mềm
193736706;Tiếng Anh 10 Think - Workbook;nhieu tac gia;available;75000;0;75000;0;0.0;0;;sach_giaokhoa;
77221940;Sách - Bộ Cool Series - Toán Học Siêu Hay (tặng kèm bookmark thiết kế);.;available;68000;0;68000;0;0.0;0;;sach_giaokhoa;
110682657;Vector: Sách hệ Cambrige - Học khoa học bằng tiếng Anh - Science 6 Workbook;;available;189000;0;189000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;Bìa mềm
193395618;Excel Nâng Cao - Phân Tích Dữ Liệu Và Lập Mô Hình Kinh Doanh Trong Excel;Phạm Quang Hiển - Văn Thị Tư;available;174000;0;174000;0;0.0;0;;sach_giaokhoa;Bìa mềm
111367922;Vector: Sách hệ Singapore - Học toán bằng tiếng Anh - Let's Start! Maths 4 Workbook;;available;295000;0;295000;0;0.0;0;;sach_giaokhoa;Bìa mềm
141688724;Giáo Trình Cảnh Quan Học Nhân Sinh: Cơ Sở Phương Pháp Luận Và Ứng Dụng Thực Tiễn (Dùng Cho Nghiên Cứu Sinh Và Học Viên Cao Học Các Ngành Khoa Học Địa Lý Và Khoa Học Môi Trường) _ Bìa Cứng;;available;216000;0;216000;0;0.0;0;{'text': 'Đã bán 3', 'value': 3};sach_giaokhoa;Bìa cứng
191579748;Combo Bài Tập Tuần Toán Lớp 4 (Tự Chọn Sách);;available;40000;8000;32000;20;0.0;0;;sach_giaokhoa;Bìa mềm
194183495;Bài Tập Công Nghệ 7 (Chân Trời Sáng Tạo) (2022);nhieu tac gia;available;12000;0;12000;0;0.0;0;{'text': 'Đã bán 2', 'value': 2};sach_giaokhoa;
193555626;Toán 6/2 (Cánh Diều) (2022);nhieu tac gia;available;20000;0;20000;0;0.0;0;{'text': 'Đã bán 2', 'value': 2};sach_giaokhoa;
77221412;Sách - Những Bài Ca Gia Đình Ấm Áp - Cún Cưng Đi Dạo (tặng kèm bookmark thiết kế);Anne White;available;46000;0;46000;0;0.0;0;;sach_giaokhoa;
193555614;Âm Nhạc 1 (Cánh Diều) (2022);nhieu tac gia;available;12000;0;12000;0;0.0;0;;sach_giaokhoa;
165523672;Kiểm tra, đánh giá Giáo Dục Công dân lớp 8 - theo định hướng phát triển năng lực ;Nguyễn Thị Mai;available;45000;11700;33300;26;0.0;0;;sach_giaokhoa;
193409705;Giáo Trình Điện Tử - Linh Kiện Điện Tử Transistor; Phạm Quang Huy;available;193000;0;193000;0;0.0;0;;sach_giaokhoa;Bìa mềm
127032182;Sách-Sinh Học Phân Tử Của Tế Bào 04 - Cấu Trúc Và Chức Năng Của Tế Bào 2;;available;259250;0;259250;0;0.0;0;;sach_giaokhoa;
189794025;Động Vật Học Có Xương Sống ;;available;80000;0;80000;0;0.0;0;;sach_giaokhoa;
192948634;Vở Bài Tập Toán Nâng Cao 4 - Tập 2; Vũ Văn Dương;available;29000;3770;25230;13;0.0;0;;sach_giaokhoa;
192990394;Bộ Đề kiểm Tra Môn Tiếng việt Lớp 3 ( Bám sát sách Giáo Khoa Kết Nối Tri Thức Với Cuộc Sống );Lê Thị Nương;available;39000;0;39000;0;0.0;0;;sach_giaokhoa;Bìa mềm
193555858;Vở Thực Hành Mĩ Thuật 1 (Cánh Diều) (2022);nhieu tac gia;available;15000;0;15000;0;0.0;0;;sach_giaokhoa;
193555850;VBT Tiếng Việt 2/2 (Cánh Diều) (2022);nhieu tac gia;available;15000;0;15000;0;0.0;0;;sach_giaokhoa;
185206113;Phiếu Bài Tập Cuối Tuần Tiếng Việt 1 (Biên Soạn Theo Chương Trình GDPT Mới)  - MEGA;;available;68000;7480;60520;11;0.0;0;;sach_giaokhoa;Bìa mềm
193747729;Phương Pháp Nghiên Cứu Khoa Học GIÁO DỤC TIỂU HỌC;;available;40000;0;40000;0;0.0;0;;sach_giaokhoa;Bìa mềm
20540638;Combo sách Em học giỏi tiếng anh lớp 3 Tập 1 + tập 2;.;available;130000;0;130000;0;0.0;0;;sach_giaokhoa;
165224364;Sách Học Tốt Tiếng Việt 4 - Tập 2;Huỳnh Tấn Phương;available;45000;11700;33300;26;0.0;0;;sach_giaokhoa;Bìa mềm
111704557;MM Publications: Sách luyện ngữ pháp Tiếng Anh - Top Grammar Elementary Sb (Br);;available;245000;0;245000;0;0.0;0;;sach_giaokhoa;Bìa mềm
194183463;Âm Nhạc 3 (Chân Trời Sáng Tạo) (2022);nhieu tac gia;available;10000;0;10000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;
